,date,apple_price,price_diff_apple,percent_price_diff_apple,apple_vol,vol_diff_apple,percent_vol_diff_apple,microsoft_price,price_diff_microsoft,percent_price_diff_microsoft,microsoft_vol,vol_diff_microsoft,percent_vol_diff_microsoft,google_price,price_diff_google,percent_price_diff_google,google_vol,vol_diff_google,percent_vol_diff_google,nvidia_price,price_diff_nvidia,percent_price_diff_nvidia,nvidia_vol,vol_diff_nvidia,percent_vol_diff_nvidia,meta_price,price_diff_meta,percent_price_diff_meta,meta_vol,vol_diff_meta,percent_vol_diff_meta
0,2024-02-02,185.85,0.0,0.0,102550000.0,0.0,0.0,411.22,0.0,0.0,28260000.0,0.0,0.0,142.38,0.0,0.0,62500000.0,0.0,0.0,661.6,0.0,0.0,47660000.0,0.0,0.0,474.99,0.0,0.0,84710000.0,0.0,0.0
1,2024-02-01,186.86,1.0100000000000193,0.005434490180252993,53490000.0,-49060000.0,-0.4784007801072647,403.78,-7.440000000000055,-0.018092505228345046,29230000.0,970000.0,0.03432413305024773,141.16,-1.2199999999999989,-0.008568619188088156,37120000.0,-25380000.0,-0.40608,630.27,-31.33000000000004,-0.047354897218863434,36020000.0,-11640000.0,-0.24422996223248006,394.78,-80.21000000000004,-0.16886671298343126,25140000.0,-59570000.0,-0.7032227600047221
2,2024-01-31,184.4,-2.460000000000008,-0.013164936315958498,54830000.0,1340000.0,0.025051411478780983,397.58,-6.199999999999989,-0.015354896230620585,46780000.0,17550000.0,0.600410537119398,140.1,-1.0600000000000023,-0.007509209407764228,71370000.0,34250000.0,0.9226831896551724,615.27,-15.0,-0.023799324099195607,45070000.0,9050000.0,0.2512493059411438,390.14,-4.639999999999986,-0.011753381630275062,20010000.0,-5130000.0,-0.2040572792362768
3,2024-01-30,188.04,3.6399999999999864,0.019739696312364385,55270000.0,440000.0,0.008024803939449265,408.59,11.009999999999991,0.02769253986619047,29340000.0,-17440000.0,-0.3728088926891834,151.46,11.360000000000014,0.0810849393290507,33060000.000000004,-38310000.0,-0.5367801597309794,627.74,12.470000000000027,0.02026752482649896,39600000.0,-5470000.0,-0.12136676281340142,400.06,9.920000000000016,0.025426769877479938,18610000.0,-1400000.0,-0.06996501749125439
4,2024-01-29,191.73,3.6899999999999977,0.0196234843650287,46890000.0,-8380000.0,-0.15161932332187444,409.72,1.1300000000000523,0.0027656085562546284,23290000.0,-6050000.0,-0.20620313565098847,153.51,2.049999999999983,0.01353492671332357,27590000.0,-5470000.000000004,-0.16545674531155485,624.65,-3.090000000000032,-0.004922420110236803,33900000.0,-5700000.0,-0.14393939393939392,401.02,0.9599999999999795,0.002399640053991847,17790000.0,-820000.0,-0.044062332079527144
5,2024-01-26,192.42,0.6899999999999977,0.0035988108277265063,44590000.0,-2300000.0,-0.04905097035615269,403.93,-5.7900000000000205,-0.014131602069706206,17800000.0,-5490000.0,-0.23572348647488195,152.18,-1.329999999999984,-0.008663930688554422,26120000.0,-1470000.0,-0.053280173976078316,610.31,-14.340000000000032,-0.022956855839270096,39030000.0,5130000.0,0.15132743362831858,394.14,-6.8799999999999955,-0.017156251558525737,13160000.0,-4630000.0,-0.26025857223159077
6,2024-01-25,194.17,1.75,0.009094688701798193,54530000.0,9940000.0,0.2229199372056514,404.87,0.9399999999999977,0.0023271358898819816,20550000.0,2750000.0,0.154494382022472,151.87,-0.3100000000000023,-0.002037061374687843,28930000.0,2810000.0,0.10758039816232778,616.17,5.860000000000014,0.009601677835853861,47310000.0,8280000.0,0.2121445042275174,393.18,-0.9599999999999795,-0.002435682752321422,15090000.0,1930000.0,0.14665653495440734
7,2024-01-24,194.5,0.3300000000000125,0.0016995416387701745,53460000.0,-1070000.0,-0.019622226297450918,402.56,-2.3100000000000023,-0.0057055351100353535,23280000.0,2730000.0,0.13284671532846715,148.7,-3.170000000000016,-0.02087311516428536,25160000.0,-3770000.0,-0.13031455236778433,613.62,-2.5499999999999545,-0.004138468279857754,55710000.0,8400000.0,0.17755231452124276,390.7,-2.480000000000018,-0.0063075436186988965,15700000.0,610000.0,0.04042412193505629
8,2024-01-23,195.18,0.6800000000000068,0.0034961439588689913,42200000.0,-11260000.0,-0.21062476618032178,398.9,-3.660000000000025,-0.009091812400635946,18230000.0,-5050000.0,-0.21692439862542956,147.04,-1.6599999999999966,-0.01116341627437789,21190000.0,-3970000.0,-0.15779014308426076,598.73,-14.889999999999986,-0.024265832274045773,29120000.0,-26590000.0,-0.47729312511218813,385.2,-5.5,-0.014077297158945457,15450000.0,-250000.0,-0.015923566878980888
9,2024-01-22,193.89,-1.2900000000000205,-0.006609283738088001,60130000.0,17930000.0,0.4248815165876778,396.51,-2.3899999999999864,-0.005991476560541442,27020000.0,8790000.0,0.4821722435545803,145.99,-1.049999999999983,-0.007140914036996571,32200000.000000004,11010000.000000004,0.5195847097687589,596.54,-2.1900000000000546,-0.0036577422210346544,45300000.0,16180000.0,0.5556318681318682,381.78,-3.420000000000016,-0.008878504672897192,17490000.0,2040000.0,0.1320388349514563
10,2024-01-19,191.56,-2.329999999999984,-0.012017123111042305,68900000.0,8770000.0,0.1458506569100282,398.67,2.160000000000025,0.005447529696603004,29330000.0,2310000.0,0.0854922279792747,146.38,0.38999999999998636,0.002671415850400649,34270000.0,2069999.9999999963,0.06428571428571406,594.91,-1.6299999999999955,-0.002732423643007964,54350000.0,9050000.0,0.19977924944812364,383.45,1.670000000000016,0.004374246948504412,21670000.0,4180000.0,0.23899371069182385
