,date,apple_price,apple_vol,microsoft_price,microsoft_vol,google_price,google_vol,nvidia_price,nvidia_vol,meta_price,meta_vol
23,2023-12-29,192.53,42670000.0,376.04,18730000.0,139.69,18730000.0,495.22,38930000.0,353.96,14990000.0
273,2022-12-30,129.93,77030000.0,239.82,21940000.0,88.23,23990000.0,146.14,31050000.0,120.34,19580000.0
518,2021-12-31,177.57,64060000.0,336.32,18000000.0,144.85,18140000.0,294.11,26650000.0,336.35,12870000.0
764,2020-12-31,132.69,99120000.0,222.42,20940000.0,87.63,21070000.0,130.55,19240000.0,273.16,12900000.0
1013,2019-12-31,73.41,100990000.0,157.7,18390000.0,66.97,19520000.0,58.83,23120000.0,205.25,8960000.0
